Award,Year,Winning,Name,Film
Directing,1934,nominated,The Thin Man ,W. S. Van Dyke [Second]
Film Editing,1934,nominated,Cleopatra ,Anne Bauchens [Third]
Film Editing,1934,won,Eskimo ,Conrad Nervig
Film Editing,1934,nominated,One Night of Love ,Gene Milford [Second]
Music (Scoring),1934,nominated,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
Music (Scoring),1934,nominated,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
Music (Scoring),1934,won,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
Music (Song),1934,nominated,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
Music (Song),1934,won,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
Music (Song),1934,nominated,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
Outstanding Production,1934,nominated,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
Outstanding Production,1934,nominated,Cleopatra ,Paramount
Outstanding Production,1934,nominated,Flirtation Walk ,First National
Outstanding Production,1934,nominated,The Gay Divorcee ,RKO Radio
Outstanding Production,1934,nominated,Here Comes the Navy ,Warner Brothers
Outstanding Production,1934,nominated,The House of Rothschild ,20th Century [Third]
Outstanding Production,1934,nominated,Imitation of Life ,Universal
Outstanding Production,1934,won,It Happened One Night ,Columbia
Outstanding Production,1934,nominated,One Night of Love ,Columbia
Outstanding Production,1934,nominated,The Thin Man ,Metro-Goldwyn-Mayer
Outstanding Production,1934,nominated,Viva Villa! ,Metro-Goldwyn-Mayer
Outstanding Production,1934,nominated,The White Parade ,Jesse L. Lasky (production company)
Short Subject (Cartoon),1934,nominated,Holiday Land ,"Charles Mintz, Producer [Third]"
Short Subject (Cartoon),1934,nominated,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
Short Subject (Cartoon),1934,won,The Tortoise and the Hare ,"Walt Disney, Producer"
Short Subject (Comedy),1934,won,La Cucaracha ,"Kenneth Macgowan, Producer"
Short Subject (Comedy),1934,nominated,Men in Black ,"Jules White, Producer [Third]"
Short Subject (Comedy),1934,nominated,"What, No Men! ",Warner Brothers [Second]
Short Subject (Novelty),1934,nominated,Bosom Friends ,Skibo Productions [Third]
Short Subject (Novelty),1934,won,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
Short Subject (Novelty),1934,nominated,Strikes and Spares ,"Pete Smith, Producer [Second]"
Sound Recording,1934,nominated,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
Sound Recording,1934,nominated,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
Sound Recording,1934,nominated,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
Sound Recording,1934,nominated,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
Sound Recording,1934,nominated,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
Sound Recording,1934,won,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
Sound Recording,1934,nominated,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Sound Recording,1934,nominated,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
Writing (Adaptation),1934,won,It Happened One Night ,Robert Riskin
Writing (Adaptation),1934,nominated,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
Writing (Adaptation),1934,nominated,Viva Villa! ,Ben Hecht [Third]
Writing (Original Story),1934,nominated,Hide-Out ,Mauri Grashin [Third]
Writing (Original Story),1934,won,Manhattan Melodrama ,Arthur Caesar
Writing (Original Story),1934,nominated,The Richest Girl in the World ,Norman Krasna [Second]
Special Award,1934,won,Shirley Temple,
Actor,1935,nominated,Clark Gable,Mutiny on the Bounty
Actor,1935,nominated,Charles Laughton,Mutiny on the Bounty
Actor,1935,won,Victor McLaglen,The Informer
Actor,1935,nominated,Paul Muni,Black Fury
Actor,1935,nominated,Franchot Tone,Mutiny on the Bounty
Actress,1935,nominated,Elisabeth Bergner,Escape Me Never
Actress,1935,nominated,Claudette Colbert,Private Worlds
Actress,1935,won,Bette Davis,Dangerous
Actress,1935,nominated,Katharine Hepburn,Alice Adams
Actress,1935,nominated,Miriam Hopkins,Becky Sharp
