Year,Award,Winning,Name,Film
1934,Sound Recording,nominated,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
1934,Sound Recording,nominated,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1934,Sound Recording,won,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,Sound Recording,nominated,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1934,Sound Recording,nominated,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
1934,Writing (Adaptation),won,It Happened One Night ,Robert Riskin
1934,Writing (Adaptation),nominated,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
1934,Writing (Adaptation),nominated,Viva Villa! ,Ben Hecht [Third]
1934,Writing (Original Story),nominated,Hide-Out ,Mauri Grashin [Third]
1934,Writing (Original Story),won,Manhattan Melodrama ,Arthur Caesar
1934,Writing (Original Story),nominated,The Richest Girl in the World ,Norman Krasna [Second]
1934,Special Award,won,Shirley Temple,
1935,Actor,nominated,Clark Gable,Mutiny on the Bounty
1935,Actor,nominated,Charles Laughton,Mutiny on the Bounty
1935,Actor,won,Victor McLaglen,The Informer
1935,Actor,nominated,Paul Muni,Black Fury
1935,Actor,nominated,Franchot Tone,Mutiny on the Bounty
1935,Actress,nominated,Elisabeth Bergner,Escape Me Never
1935,Actress,nominated,Claudette Colbert,Private Worlds
1935,Actress,won,Bette Davis,Dangerous
1935,Actress,nominated,Katharine Hepburn,Alice Adams
1935,Actress,nominated,Miriam Hopkins,Becky Sharp
1935,Actress,nominated,Merle Oberon,The Dark Angel
1935,Art Direction,won,The Dark Angel ,Richard Day
1935,Art Direction,nominated,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
1935,Art Direction,nominated,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
1935,Assistant Director,nominated,David Copperfield ,Joseph Newman [Third]
1935,Assistant Director,nominated,Les Miserables ,Eric Stacey
1935,Assistant Director,won,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
1935,Assistant Director,nominated,A Midsummer Night's Dream ,Sherry Shourds [Second]
1935,Cinematography,nominated,Barbary Coast ,Ray June
1935,Cinematography,nominated,The Crusades ,Victor Milner [Third]
1935,Cinematography,nominated,Les Miserables ,Gregg Toland [Second]
1935,Cinematography,won,A Midsummer Night's Dream ,Hal Mohr
1935,Dance Direction,nominated,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
1935,Dance Direction,nominated,Bobby Connolly,Latin from Manhattan number from Go into Your Dance
1935,Dance Direction,nominated,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
1935,Dance Direction,won,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
1935,Dance Direction,nominated,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
1935,Dance Direction,nominated,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
1935,Dance Direction,nominated,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
1935,Dance Direction,nominated,Benjamin Zemach,Hall of Kings number from She
1935,Directing,nominated,Captain Blood ,Michael Curtiz [Second]
1935,Directing,won,The Informer ,John Ford
1935,Directing,nominated,The Lives of a Bengal Lancer ,Henry Hathaway [Third]
1935,Directing,nominated,Mutiny on the Bounty ,Frank Lloyd
1935,Film Editing,nominated,David Copperfield ,Robert J. Kern
1935,Film Editing,nominated,The Informer ,George Hively [Third]
1935,Film Editing,nominated,Les Miserables ,Barbara McLean
1935,Film Editing,nominated,The Lives of a Bengal Lancer ,Ellsworth Hoagland
1935,Film Editing,won,A Midsummer Night's Dream ,Ralph Dawson
