Year,Award,Winning,Name,Film
1985,Music (Original Song),won,"""Say You, Say Me"" from White Nights",Music and Lyric by Lionel Richie
1985,Music (Original Song),nominated,"""Separate Lives (Love Theme From 'White Nights')"" from White Nights",Music and Lyric by Stephen Bishop
1985,Music (Original Song),nominated,"""Surprise, Surprise"" from A Chorus Line",Music by Marvin Hamlisch; Lyric by Edward Kleban
1985,Best Picture,nominated,The Color Purple ,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers"
1985,Best Picture,nominated,Kiss of the Spider Woman ,"David Weisman, Producer"
1985,Best Picture,won,Out of Africa ,"Sydney Pollack, Producer"
1985,Best Picture,nominated,Prizzi's Honor ,"John Foreman, Producer"
1985,Best Picture,nominated,Witness ,"Edward S. Feldman, Producer"
1985,Short Film (Animated),won,Anna & Bella ,"Cilia Van Dijk, Producer"
1985,Short Film (Animated),nominated,The Big Snit ,"Richard Condie and Michael Scott, Producers"
1985,Short Film (Animated),nominated,Second Class Mail ,"Alison Snowden, Producer"
1985,Short Film (Live Action),nominated,Graffiti ,"Dianna Costello, Producer"
1985,Short Film (Live Action),won,Molly's Pilgrim ,"Jeff Brown and Chris Pelzer, Producers"
1985,Short Film (Live Action),nominated,Rainbow War ,"Bob Rogers, Producer"
1985,Sound,nominated,Back to the Future ,"Bill Varney, B. Tennyson Sebastian II, Robert Thirlwell, William B. Kaplan"
1985,Sound,nominated,A Chorus Line ,"Donald O. Mitchell, Michael Minkler, Gerry Humphreys, Chris Newman"
1985,Sound,nominated,Ladyhawke ,"Les Fresholtz, Dick Alexander, Vern Poore, Bud Alper"
1985,Sound,won,Out of Africa ,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford"
1985,Sound,nominated,Silverado ,"Donald O. Mitchell, Rick Kline, Kevin O'Connell, David Ronne"
1985,Sound Effects Editing,won,Back to the Future ,"Charles L. Campbell, Robert Rutledge"
1985,Sound Effects Editing,nominated,Ladyhawke ,"Bob Henderson, Alan Murray"
1985,Sound Effects Editing,nominated,Rambo: First Blood Part II ,Frederick J. Brown
1985,Visual Effects,won,Cocoon ,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry"
1985,Visual Effects,nominated,Return to Oz ,"Will Vinton, Ian Wingrove, Zoran Perisic, Michael Lloyd"
1985,Visual Effects,nominated,Young Sherlock Holmes ,"Dennis Muren, Kit West, John Ellis, David Allen"
1985,Writing (Screenplay Based on Material from Another Medium),nominated,The Color Purple ,Menno Meyjes
1985,Writing (Screenplay Based on Material from Another Medium),nominated,Kiss of the Spider Woman ,Leonard Schrader
1985,Writing (Screenplay Based on Material from Another Medium),won,Out of Africa ,Kurt Luedtke
1985,Writing (Screenplay Based on Material from Another Medium),nominated,Prizzi's Honor ,"Richard Condon, Janet Roach"
1985,Writing (Screenplay Based on Material from Another Medium),nominated,The Trip to Bountiful ,Horton Foote
1985,Writing (Screenplay Written Directly for the Screen),nominated,Back to the Future ,"Robert Zemeckis, Bob Gale"
1985,Writing (Screenplay Written Directly for the Screen),nominated,Brazil ,"Terry Gilliam, Tom Stoppard, Charles McKeown"
1985,Writing (Screenplay Written Directly for the Screen),nominated,The Official Story ,"Luis Puenzo, Aida Bortnik"
1985,Writing (Screenplay Written Directly for the Screen),nominated,The Purple Rose of Cairo ,Woody Allen
1985,Writing (Screenplay Written Directly for the Screen),won,Witness ,"Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace"
1985,Jean Hersholt Humanitarian Award,won,Charles 'Buddy' Rogers,
1985,Honorary Award,won,Paul Newman,
1985,Honorary Award,won,Alex North,
1985,Medal of Commendation,won,"John H. Whitney, Sr.",
1986,Actor in a Leading Role,nominated,Dexter Gordon,Round Midnight
1986,Actor in a Leading Role,nominated,Bob Hoskins,Mona Lisa
1986,Actor in a Leading Role,nominated,William Hurt,Children of a Lesser God
1986,Actor in a Leading Role,won,Paul Newman,The Color of Money
1986,Actor in a Leading Role,nominated,James Woods,Salvador
1986,Actor in a Supporting Role,nominated,Tom Berenger,Platoon
1986,Actor in a Supporting Role,won,Michael Caine,Hannah and Her Sisters
1986,Actor in a Supporting Role,nominated,Willem Dafoe,Platoon
1986,Actor in a Supporting Role,nominated,Denholm Elliott,A Room with a View
1986,Actor in a Supporting Role,nominated,Dennis Hopper,Hoosiers
1986,Actress in a Leading Role,nominated,Jane Fonda,The Morning After
1986,Actress in a Leading Role,won,Marlee Matlin,Children of a Lesser God
1986,Actress in a Leading Role,nominated,Sissy Spacek,Crimes of the Heart
1986,Actress in a Leading Role,nominated,Kathleen Turner,Peggy Sue Got Married
1986,Actress in a Leading Role,nominated,Sigourney Weaver,Aliens
1986,Actress in a Supporting Role,nominated,Tess Harper,Crimes of the Heart
1986,Actress in a Supporting Role,nominated,Piper Laurie,Children of a Lesser God
1986,Actress in a Supporting Role,nominated,Mary Elizabeth Mastrantonio,The Color of Money
1986,Actress in a Supporting Role,nominated,Maggie Smith,A Room with a View
1986,Actress in a Supporting Role,won,Dianne Wiest,Hannah and Her Sisters
1986,Art Direction,nominated,Aliens ,Art Direction: Peter Lamont; Set Decoration: Crispian Sallis
1986,Art Direction,nominated,The Color of Money ,Art Direction: Boris Leven; Set Decoration: Karen A. O'Hara
1986,Art Direction,nominated,Hannah and Her Sisters ,Art Direction: Stuart Wurtzel; Set Decoration: Carol Joffe
1986,Art Direction,nominated,The Mission ,Art Direction: Stuart Craig; Set Decoration: Jack Stephens
1986,Art Direction,won,A Room with a View ,"Art Direction: Gianni Quaranta, Brian Ackland-Snow; Set Decoration: Brian Savegar, Elio Altamura"
1986,Cinematography,won,The Mission ,Chris Menges
1986,Cinematography,nominated,Peggy Sue Got Married ,Jordan Cronenweth
1986,Cinematography,nominated,Platoon ,Robert Richardson
1986,Cinematography,nominated,A Room with a View ,Tony Pierce-Roberts
1986,Cinematography,nominated,Star Trek IV: The Voyage Home ,Don Peterman
1986,Costume Design,nominated,The Mission ,Enrico Sabbatini
1986,Costume Design,nominated,Otello ,"Anna Anni, Maurizio Millenotti"
1986,Costume Design,nominated,Peggy Sue Got Married ,Theadora Van Runkle
1986,Costume Design,nominated,Pirates ,Anthony Powell
1986,Costume Design,won,A Room with a View ,"Jenny Beavan, John Bright"
1986,Directing,nominated,Blue Velvet ,David Lynch
1986,Directing,nominated,Hannah and Her Sisters ,Woody Allen
1986,Directing,nominated,The Mission ,Roland Joffé
1986,Directing,won,Platoon ,Oliver Stone
1986,Directing,nominated,A Room with a View ,James Ivory
1986,Documentary (Feature),won,Artie Shaw: Time Is All You've Got ,"Brigitte Berman, Producer"
1986,Documentary (Feature),nominated,Chile: Hasta Cuando? ,"David Bradbury, Producer"
1986,Documentary (Feature),won,Down and Out in America ,"Joseph Feury and Milton Justice, Producers"
1986,Documentary (Feature),nominated,Isaac in America: A Journey with Isaac Bashevis Singer ,"Kirk Simon and Amram Nowak, Producers"
1986,Documentary (Feature),nominated,Witness to Apartheid ,"Sharon I. Sopher, Producer"
1986,Documentary (Short Subject),nominated,Debonair Dancers ,"Alison Nigh-Strelich, Producer"
1986,Documentary (Short Subject),nominated,The Masters of Disaster ,"Sonya Friedman, Producer"
1986,Documentary (Short Subject),nominated,Red Grooms: Sunflower in a Hothouse ,"Thomas L. Neff and Madeline Bell, Producers"
1986,Documentary (Short Subject),nominated,Sam ,"Aaron D. Weisblatt, Producer"
1986,Documentary (Short Subject),won,"Women--for America, for the World ","Vivienne Verdon-Roe, Producer"
1986,Film Editing,nominated,Aliens ,Ray Lovejoy
1986,Film Editing,nominated,Hannah and Her Sisters ,Susan E. Morse
1986,Film Editing,nominated,The Mission ,Jim Clark
1986,Film Editing,won,Platoon ,Claire Simpson
1986,Film Editing,nominated,Top Gun ,"Billy Weber, Chris Lebenzon"
1986,Foreign Language Film,won,The Assault ,The Netherlands
1986,Foreign Language Film,nominated,Betty Blue ,France
1986,Foreign Language Film,nominated,The Decline of the American Empire ,Canada
1986,Foreign Language Film,nominated,My Sweet Little Village ,Czechoslovakia
1986,Foreign Language Film,nominated,38' ,Austria
1986,Makeup,nominated,The Clan of the Cave Bear ,"Michael G. Westmore, Michèle Burke"
1986,Makeup,won,The Fly ,"Chris Walas, Stephan Dupuis"
1986,Makeup,nominated,Legend ,"Rob Bottin, Peter Robb-King"
1986,Music (Original Score),nominated,Aliens ,James Horner
1986,Music (Original Score),nominated,Hoosiers ,Jerry Goldsmith
1986,Music (Original Score),nominated,The Mission ,Ennio Morricone
1986,Music (Original Score),won,Round Midnight ,Herbie Hancock
1986,Music (Original Score),nominated,Star Trek IV: The Voyage Home ,Leonard Rosenman
1986,Music (Original Song),nominated,"""Glory Of Love"" from The Karate Kid Part II",Music by Peter Cetera and David Foster; Lyric by Peter Cetera and Diane Nini
1986,Music (Original Song),nominated,"""Life In A Looking Glass"" from That's Life",Music by Henry Mancini; Lyric by Leslie Bricusse
1986,Music (Original Song),nominated,"""Mean Green Mother From Outer Space"" from Little Shop of Horrors",Music by Alan Menken; Lyric by Howard Ashman
1986,Music (Original Song),nominated,"""Somewhere Out There"" from An American Tail",Music by James Horner and Barry Mann; Lyric by Cynthia Weil
1986,Music (Original Song),won,"""Take My Breath Away"" from Top Gun",Music by Giorgio Moroder; Lyric by Tom Whitlock
1986,Best Picture,nominated,Children of a Lesser God ,"Burt Sugarman and Patrick Palmer, Producers"
1986,Best Picture,nominated,Hannah and Her Sisters ,"Robert Greenhut, Producer"
1986,Best Picture,nominated,The Mission ,"Fernando Ghia and David Puttnam, Producers"
1986,Best Picture,won,Platoon ,"Arnold Kopelson, Producer"
1986,Best Picture,nominated,A Room with a View ,"Ismail Merchant, Producer"
1986,Short Film (Animated),nominated,"The Frog, the Dog and the Devil ","Bob Stenhouse, Producer"
1986,Short Film (Animated),won,A Greek Tragedy ,"Linda Van Tulden and Willem Thijssen, Producers"
1986,Short Film (Animated),nominated,Luxo Jr. ,"John Lasseter and William Reeves, Producers"
1986,Short Film (Live Action),nominated,Exit ,"Stefano Reali and Pino Quartullo, Producers"
1986,Short Film (Live Action),nominated,Love Struck ,"Fredda Weiss, Producer"
1986,Short Film (Live Action),won,Precious Images ,"Chuck Workman, Producer"
1986,Sound,nominated,Aliens ,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, Roy Charman"
1986,Sound,nominated,Heartbreak Ridge ,"Les Fresholtz, Dick Alexander, Vern Poore, William Nelson"
1986,Sound,won,Platoon ,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye"
1986,Sound,nominated,Star Trek IV: The Voyage Home ,"Terry Porter, Dave Hudson, Mel Metcalfe, Gene S. Cantamessa"
1986,Sound,nominated,Top Gun ,"Donald O. Mitchell, Kevin O'Connell, Rick Kline, William B. Kaplan"
1986,Sound Effects Editing,won,Aliens ,Don Sharpe
1986,Sound Effects Editing,nominated,Star Trek IV: The Voyage Home ,Mark Mangini
1986,Sound Effects Editing,nominated,Top Gun ,"Cecelia Hall, George Watters II"
1986,Visual Effects,won,Aliens ,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson"
1986,Visual Effects,nominated,Little Shop of Horrors ,"Lyle Conway, Bran Ferren, Martin Gutteridge"
1986,Visual Effects,nominated,Poltergeist II: The Other Side ,"Richard Edlund, John Bruno, Garry Waller, William Neil"
1986,Writing (Screenplay Based on Material from Another Medium),nominated,Children of a Lesser God ,"Hesper Anderson, Mark Medoff"
1986,Writing (Screenplay Based on Material from Another Medium),nominated,The Color of Money ,Richard Price
1986,Writing (Screenplay Based on Material from Another Medium),nominated,Crimes of the Heart ,Beth Henley
1986,Writing (Screenplay Based on Material from Another Medium),won,A Room with a View ,Ruth Prawer Jhabvala
1986,Writing (Screenplay Based on Material from Another Medium),nominated,Stand by Me ,"Raynold Gideon, Bruce A. Evans"
1986,Writing (Screenplay Written Directly for the Screen),nominated,Crocodile' Dundee ,"Screenplay by Paul Hogan, Ken Shadie, John Cornell; Story by Paul Hogan"
1986,Writing (Screenplay Written Directly for the Screen),won,Hannah and Her Sisters ,Woody Allen
1986,Writing (Screenplay Written Directly for the Screen),nominated,My Beautiful Laundrette ,Hanif Kureishi
1986,Writing (Screenplay Written Directly for the Screen),nominated,Platoon ,Oliver Stone
1986,Writing (Screenplay Written Directly for the Screen),nominated,Salvador ,"Oliver Stone, Richard Boyle"
1986,Honorary Award,won,Ralph Bellamy,
1986,Irving G. Thalberg Memorial Award,won,Steven Spielberg,
1986,Medal of Commendation,won,E. M. (Al) Lewis,
1987,Actor in a Leading Role,won,Michael Douglas,Wall Street
1987,Actor in a Leading Role,nominated,William Hurt,Broadcast News
1987,Actor in a Leading Role,nominated,Marcello Mastroianni,Dark Eyes
1987,Actor in a Leading Role,nominated,Jack Nicholson,Ironweed
1987,Actor in a Leading Role,nominated,Robin Williams,"Good Morning, Vietnam"
1987,Actor in a Supporting Role,nominated,Albert Brooks,Broadcast News
1987,Actor in a Supporting Role,won,Sean Connery,The Untouchables
1987,Actor in a Supporting Role,nominated,Morgan Freeman,Street Smart
1987,Actor in a Supporting Role,nominated,Vincent Gardenia,Moonstruck
1987,Actor in a Supporting Role,nominated,Denzel Washington,Cry Freedom
1987,Actress in a Leading Role,won,Cher,Moonstruck
1987,Actress in a Leading Role,nominated,Glenn Close,Fatal Attraction
1987,Actress in a Leading Role,nominated,Holly Hunter,Broadcast News
1987,Actress in a Leading Role,nominated,Sally Kirkland,Anna
1987,Actress in a Leading Role,nominated,Meryl Streep,Ironweed
1987,Actress in a Supporting Role,nominated,Norma Aleandro,Gaby - A True Story
1987,Actress in a Supporting Role,nominated,Anne Archer,Fatal Attraction
1987,Actress in a Supporting Role,won,Olympia Dukakis,Moonstruck
1987,Actress in a Supporting Role,nominated,Anne Ramsey,Throw Momma from the Train
1987,Actress in a Supporting Role,nominated,Ann Sothern,The Whales of August
1987,Art Direction,nominated,Empire of the Sun ,Art Direction: Norman Reynolds; Set Decoration: Harry Cordwell
1987,Art Direction,nominated,Hope and Glory ,Art Direction: Anthony Pratt; Set Decoration: Joan Woollard
1987,Art Direction,won,The Last Emperor ,"Art Direction: Ferdinando Scarfiotti; Set Decoration: Bruno Cesari, Osvaldo Desideri"
1987,Art Direction,nominated,Radio Days ,"Art Direction: Santo Loquasto; Set Decoration: Carol Joffe, Les Bloom, George DeTitta, Jr."
1987,Art Direction,nominated,The Untouchables ,"Art Direction: Patrizia Von Brandenstein, William A. Elliott; Set Decoration: Hal Gausman"
1987,Cinematography,nominated,Broadcast News ,Michael Ballhaus
1987,Cinematography,nominated,Empire of the Sun ,Allen Daviau
1987,Cinematography,nominated,Hope and Glory ,Philippe Rousselot
1987,Cinematography,won,The Last Emperor ,Vittorio Storaro
1987,Cinematography,nominated,Matewan ,Haskell Wexler
1987,Costume Design,nominated,The Dead ,Dorothy Jeakins
1987,Costume Design,nominated,Empire of the Sun ,Bob Ringwood
1987,Costume Design,won,The Last Emperor ,James Acheson
1987,Costume Design,nominated,Maurice ,"Jenny Beavan, John Bright"
1987,Costume Design,nominated,The Untouchables ,Marilyn Vance-Straker
1987,Directing,nominated,Fatal Attraction ,Adrian Lyne
1987,Directing,nominated,Hope and Glory ,John Boorman
1987,Directing,won,The Last Emperor ,Bernardo Bertolucci
1987,Directing,nominated,Moonstruck ,Norman Jewison
1987,Directing,nominated,My Life as a Dog ,Lasse Hallström
1987,Documentary (Feature),nominated,Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965 ,"Callie Crossley and James A. DeVinney, Producers"
1987,Documentary (Feature),nominated,Hellfire: A Journey from Hiroshima ,"John Junkerman and John W. Dower, Producers"
1987,Documentary (Feature),nominated,Radio Bikini ,"Robert Stone, Producer"
1987,Documentary (Feature),nominated,A Stitch for Time ,"Barbara Herbich and Cyril Christo, Producers"
1987,Documentary (Feature),won,The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table ,"Aviva Slesin, Producer"
1987,Documentary (Short Subject),nominated,Frances Steloff: Memoirs of a Bookseller ,"Deborah Dickson, Producer"
1987,Documentary (Short Subject),nominated,In the Wee Wee Hours... ,"Dr. Frank Daniel and Izak Ben-Meir, Producers"
1987,Documentary (Short Subject),nominated,Language Says It All ,"Megan Williams, Producer"
1987,Documentary (Short Subject),nominated,Silver into Gold ,"Lynn Mueller, Producer"
1987,Documentary (Short Subject),won,Young at Heart ,"Sue Marx and Pamela Conn, Producers"
1987,Film Editing,nominated,Broadcast News ,Richard Marks
1987,Film Editing,nominated,Empire of the Sun ,Michael Kahn
