Role	name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
Actress	 The Iron Lady	2011	2	6.4	105	Biography	Drama	January	54	An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life from girlhood to British prime minister intervene.
Actress	 Black Swan	2010	5	8	108	Drama	Thriller	December	79	"A committed dancer wins the lead role in a production of Tchaikovskys ""Swan Lake"" only to find herself struggling to maintain her sanity."
Actress	 The Blind Side	2009	2	7.7	129	Biography	Drama	November	53	The story of Michael Oher a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.
Actress	 The Reader	2008	5	7.6	124	Drama	Romance	January	58	Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.
Actress	 La vie en rose	2007	3	7.7	140	Biography	Drama	February	66	The life story of singer Édith Piaf.
Actress	 The Queen	2006	6	7.4	103	Biography	Drama	October	91	After the death of Princess Diana Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.
Actress	 Walk the Line	2005	5	7.9	136	Biography	Drama	November	72	A chronicle of country music legend Johnny Cashs life from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis where he recorded alongside Elvis Presley Jerry Lee Lewis and Carl Perkins.
Actress	 Million Dollar Baby	2004	7	8.1	132	Drama	Sport	January	86	A determined woman works with a hardened boxing trainer to become a professional.
Actress	 Monster	2003	 	7.3	109	Biography	Crime	January	74	Based on the life of Aileen Wuornos a Daytona Beach prostitute who became a serial killer.
Actress	 The Hours	2002	9	7.6	114	Drama		January	81	"The story of how the novel ""Mrs. Dalloway"" affects three generations of women all of whom in one way or another have had to deal with suicide in their lives."
Actress	 Monster's Ball	2001	2	7.1	111	Drama	Romance	February	69	After a family tragedy a racist prison guard reexamines his attitudes while falling in love with the African American wife of the last prisoner he executed.
Actress	 Erin Brockovich	2000	5	7.3	131	Biography	Drama	March	73	An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a citys water supply.
Actress	 Boys Don't Cry	1999	2	7.6	118	Biography	Drama	October	86	Female born Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.
Actress	 Shakespeare in Love	1998	13	7.2	123	Comedy	Drama	December	87	A young Shakespeare out of ideas and short of cash meets his ideal woman and is inspired to write one of his most famous plays.
Actress	 As Good As It Gets	1997	7	7.7	139	Comedy	Drama	December	67	A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.
Actress	 Fargo	1996	7	8.2	98	Crime	Drama	April	85	Jerry Lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant Marge Gunderson.
Actress	 Dead Man Walking	1995	4	7.6	122	Crime	Drama	February	80	A nun while comforting a convicted killer on death row empathizes with both the killer and his victims families.
Actress	 Blue Sky	1994	 	6.4	101	Drama	Romance	September		Jessica Lange stars in a period drama about a family moving to a military base and she quickly becomes part of a cover-up involving nuclear bomb tests.
Actress	 The Piano	1993	8	7.6	121	Drama	Music	November	89	A mute woman along with her young daughter and her prized piano are sent to 1850s New Zealand for an arranged marriage to a wealthy landowner and shes soon lusted after by a local worker on the plantation.
Actress	 Howards End	1992	9	7.5	140	Drama	Romance	May	87	A businessman thwarts his wifes bequest of an estate to another woman.
Actress	 The Silence of the Lambs	1991	7	8.6	118	Crime	Drama	February	84	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
Actress	 Misery	1990	 	7.8	107	Thriller		November		After a famous author is rescued from a car crash by a fan of his novels he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.
Actress	 Driving Miss Daisy	1989	9	7.4	99	Comedy	Drama	January	81	An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
Actress	 The Accused	1988	 	7.1	111	Crime	Drama	October		After a young woman suffers a brutal rape in a bar one night a prosecutor assists in bringing the perpetrators to justice including the ones who encouraged and cheered on the attack.
Actress	 Moonstruck	1987	6	7.1	102	Comedy	Drama	January	83	Loretta Castorini a book keeper from Brooklyn New York finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.
Actress	Children of a Lesser God	1986	5	7.2	119	Drama	Romance	October		James is a new speech teacher at a school for the deaf. He falls for Sarah a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first ...                See full summary »
Actress	 The Trip to Bountiful	1985	2	7.6	108	Drama		January		In 1940s Texas an elderly woman is determined to visit her childhood home for one last time.
Actress	 Places in the Heart	1984	7	7.3	111	Drama		October		In 1930s Southern US a widow and her family try to run their cotton farm with the help of a disparate group of friends.
Actress	 Terms of Endearment	1983	11	7.4	132	Comedy	Drama	December	79	Follows hard-to-please Aurora looking for love and her daughters family problems.
Actress	 Sophie's Choice	1982	5	7.7	150	Drama	Romance	December	68	After spending time with his new neighbors an aspiring writer realizes they are harboring deep secrets that will forever change him.
Actress	 On Golden Pond	1981	10	7.7	109	Drama		February		Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.
Actress	 Coal Miner's Daughter	1980	7	7.5	124	Biography	Drama	March		Biographical story of Loretta Lynn a legendary country singer that came from poverty to worldwide fame. She rose from humble beginnings in Kentucky to superstardom and changing the sound and style of country music forever.
Actress	 Norma Rae	1979	4	7.4	114	Drama		March		A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.
Actress	 Coming Home	1978	8	7.3	127	Drama	Romance	February		A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
Actress	 Annie Hall	1977	5	8.1	93	Comedy	Romance	April		Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
Actress	 Network	1976	10	8.1	121	Drama		November		A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.
Actress	 One Flew Over the Cuckoo's Nest	1975	9	8.7	133	Drama		November	79	A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
Actress	 Alice Doesn't Live Here Anymore	1974	3	7.4	112	Drama	Romance	May		A recently widowed woman is on the road with her precocious young son determined to make a new life for herself as a singer.
Actress	 A Touch of Class	1973	5	6.5	106	Comedy	Romance	August		Romantic comedy about a pair of clandestine lovers in a London-Spain tryst.
Actress	 Cabaret	1972	10	7.9	124	Drama	Musical	February	80	A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
Actress	 Klute	1971	2	7.2	114	Crime	Mystery	June		A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.
Actress	 Women in Love	1970	4	7.6	131	Drama	Romance	September		The battle of the sexes and relationships among the elite of Britians industrial Midlands in the 1920s. Gerald Crich and Rupert Berkin are best friends who fall in love with a pair of ...                See full summary »
Actress	 The Prime of Miss Jean Brodie	1969	2	7.7	116	Drama		June		A headstrong young teacher in a private school in 1930s Edinburgh ignores the curriculum and influences her impressionable 12 year old charges with her over-romanticized world view.
Actress	 The Lion in Winter	1968	7	8.2	134	Biography	Drama	October		1183 AD: King Henry IIs three sons all want to inherit the throne but he wont commit to a choice. They and his wife variously plot to force him.
Actress	Guess Who's Coming to Dinner	1967	10	7.8	108	Comedy	Drama	December		A couples attitudes are challenged when their daughter introduces them to her African-American fiancé.
Actress	 Who's Afraid of Virginia Woolf?	1966	13	8.1	131	Drama		June		A bitter aging couple with the help of alcohol use a young couple to fuel anguish and emotional pain towards each other.
Actress	 Darling	1965	5	7.2	128	Drama	Romance	September		A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.
Actress	 Mary Poppins	1964	13	7.8	139	Comedy	Family	September		A magic nanny comes to work for a cold bankers unhappy family.
Actress	Hud	1963	7	7.9	112	Drama		May		Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth out for kicks with no regard for the ...                See full summary »
Actress	 The Miracle Worker	1962	5	8.1	106	Biography	Drama	July		The story of Anne Sullivans struggle to teach the blind and deaf Helen Keller how to communicate.
Actress	 Two Women	1961	 	7.9	100	Drama	War	December		In the Italy of WWII a widow and her lonely daughter seek for distance between them and the horrors of war.
Actress	 Butterfield 8	1960	2	6.4	109	Drama		November		The romantic life of a fashionable Manhattan beauty whos part model part call-girl--and all man-trap.
Actress	 Room at the Top	1959	6	7.7	117	Drama	Romance	January		An ambitious young accountant schemes to wed a wealthy factory owners daughter despite falling in love with a married older woman.
Actress	 I Want to Live!	1958	6	7.5	120	Biography	Crime	November		A prostitute sentenced to death for murder pleads her innocence.
Actress	 The Three Faces of Eve	1957	 	7.2	91	Drama	Mystery	September		A doctor treats a woman suffering from Multiple Personality Disorder.
Actress	 Anastasia	1956	2	7.2	105	Biography	Drama	December		An opportunistic Russian businessman tries to pass a mysterious impostor as the Grand Duchess Anastasia. But she is so convincing in her performance that even the biggest skeptics believe her.
Actress	 The Rose Tattoo	1955	8	7.2	117	Comedy	Drama			An Italian-American neighborhood in Louisiana is disturbed when truck driver Rosario Delle Rose is killed by police while smuggling. His buxom widow Serafina miscarries then over a period ...                See full summary »
Actress	 The Country Girl	1954	7	7.3	104	Drama	Music	May		A director hires an alcoholic has-been and strikes up a stormy relationship with the actors wife who he believes is the cause of all the mans problems.
Actress	 Roman Holiday	1953	10	8.1	118	Comedy	Romance	September	76	A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Actress	 Come Back Little Sheba	1952	3	7.8	99	Drama	Romance	December		An emotionally remote recovering alcoholic and his dowdy unambitious wife face a personal crisis when they take in an attractive lodger.
Actress	 A Streetcar Named Desire	1951	12	8.1	122	Drama		December		Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
Actress	 Born Yesterday	1950	5	7.6	103	Comedy	Drama	May		A million dollar Tycoon hires a tutor to teach his lover proper etiquette.
Actress	 The Heiress	1949	8	8.3	115	Drama	Romance	February		A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.
Actress	 Johnny Belinda	1948	12	7.8	102	Drama		September		In post-war Cape Breton a doctors efforts to tutor a deaf/mute woman are undermined when she is raped and the resulting pregnancy causes scandal to swirl.
